"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","event_start","event_end","exp_attendance","exp_participants","event_host","event_url","event_address","latitude","longitude"
"The Haunted Hotel (31-Day Event)","49499","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-19 19:00:00","2017-10-19 23:00:00","25,000","40","The Haunted Hotel San Diego, LLC.","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Trail of Balboa Park (33-Day Event)","49370","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-19 18:30:00","2017-10-19 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"North Park Thursday Market","48712","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2017-10-19 15:00:00","2017-10-19 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","2900 North Park Way","32.747671015","-117.130530344"
"The Haunted Hotel (31-Day Event)","49498","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-18 19:00:00","2017-10-18 23:00:00","25,000","40","The Haunted Hotel San Diego, LLC.","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Trail of Balboa Park (33-Day Event)","49369","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-18 18:30:00","2017-10-18 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"Ocean Beach Certified Farmer's Market (Wednesdays)","48608","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2017-10-18 16:00:00","2017-10-18 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","4900 Block of Newport Avenue","32.7458016","-117.249336"
"Unveiling of Walter Munk Way Sign","49856","","FESTIVAL","A dedication ceremony for the naming of a portion of La Vereda to Walter Munk Way, to recognize renowned oceanographer Walter Munk, who helped found UC San Diego. ","Kellogg Park","2017-10-18 15:00:00","2017-10-18 16:00:00","300","15","Councilmember Bry's Office","","8300 Camino del Oro","32.8573922087","-117.256307544"
"Curbside Bites Food Truck Markets (Wed. Lunch)","48558","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streeets ","2017-10-18 11:00:00","2017-10-18 14:00:00","300/day","25","Curbside Bites","www.curbsidebites.com","500 West B Street","32.7179944103","-117.16765248"
"The Haunted Hotel (31-Day Event)","49497","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-17 19:00:00","2017-10-17 23:00:00","25,000","40","The Haunted Hotel San Diego, LLC.","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Trail of Balboa Park (33-Day Event)","49368","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-17 18:30:00","2017-10-17 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"Pacific Beach Tuesday Farmer's Market","49049","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacfic Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2017-10-17 14:00:00","2017-10-17 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","4499 Bayard St","32.796878322800005","-117.25336480799999"
"The Haunted Trail of Balboa Park (33-Day Event)","49367","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-16 18:30:00","2017-10-16 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"The Haunted Hotel (31-Day Event)","49496","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-15 19:00:00","2017-10-15 23:00:00","25,000","40","The Haunted Hotel San Diego, LLC.","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Trail of Balboa Park (33-Day Event)","49366","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-15 18:30:00","2017-10-15 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"10th Annual La Jolla Shores Fall Fest","49879","","FESTIVAL","The La Jolla Shores Business Association presents an afternoon of fun, good food and live music! Bring your family, friends, and colleagues to join us for a “Party on la Playa”, with samplings of restaurants' menus. Receive goodies from the surf shops, boutiques and businesses.","Laurette Park and Avenida de la Playa between Camino de La Plata and El Paseo Grande","2017-10-15 13:00:00","2017-10-15 16:00:00","150","","La Jolla Shores Business Association","","2219 Avenida de la Playa","32.853811","-117.2553032"
"Centennial Celebration of Our Lady of Fatima","49595","","FESTIVAL","St. Agnes Catholic Church is celebrating Our Lady of Fatima with a High Mass, a special blessing of the statue, followed by a celebratory luncheon.","St. Agnes Catholic Church at 1140 Evergreen Street","2017-10-15 11:00:00","2017-10-15 16:00:00","400","40","St. Agnes Catholic Church","","1140 Evergreen Street","32.7231296","-117.23382859999998"
"Old Town Artisan's Market","49136","","FARMERS","A weekend open air market offering an array of interesting art, jewelery, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2017-10-15 09:00:00","2017-10-15 04:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","San Diego Ave & Harney St","32.7527798284","-117.19490439"
"2017 Hillcrest Farmers' Market (Sundays)","48845","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2017-10-15 09:00:00","2017-10-15 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485387","-117.1498828"
"Walk to Defeat ALS","49414","","ATHLETIC","When you participate in The ALS Association’s Walk to Defeat ALS®, you support people living with ALS in our community and advance global ALS research and public policy initiatives aimed at finding treatments and a cure for the disease. Join in!","De Anza Cove and surrounding pathways","2017-10-15 07:00:00","2017-10-15 11:00:00","1,500","150","The ALS Association","","3000 N Mission Bay Dr","32.795977712399996","-117.20923295"
"Making Strides Against Breast Cancer","49580","","ATHLETIC","You can make strides against breast cancer by joining this nationwide walking event. Individuals with a personal commitment to the breast cancer cause are encouraged to form
teams and raise funds that are used for breast cancer research, screenings, and awareness.","Balboa Park (Laurel St./Balboa Dr. - Cabrillo Bridge - El Prado - Pan American Rd. - President's Way - Park Blvd. - Hwy 163 ramp - Robinson St. - 6th. Ave. - Balboa Dr. - Laurel St./Balboa Dr.","2017-10-15 06:30:00","2017-10-15 13:00:00","20,000","200","American Cancer Society, Inc.","www.cancer.org","Laurel Street & Balboa Drive","32.7313873","-117.1617906"
"Life Time Tri San Diego","49594","","ATHLETIC","The triathlon is a non-stop swim-to-bike-to-run competition. The sport offers various distances for athletes to choose from. Life Time Tri San Diego offers participants three distances to choose from. Sign up or come out and watch!","Mission Bay Park: South Shores Park, Fiesta Island, surrounding roadways and pathways","2017-10-15 05:00:00","2017-10-15 13:00:00","1,200","200","Life Time Fitness","www.lifetimetri.com","404 Sea World Drive","32.7611532858","-117.22107024399999"
"The Haunted Trail of Balboa Park (33-Day Event)","49365","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-14 18:30:00","2017-10-14 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"Ray at Night (2nd Saturday Each Month)","48866","","EXHIBITS","On the second Saturday of each month, participating businesses, galleries, and shops on and around Ray Street are open late to offer a pleasant art walk experience. Patrons can shop in
style amid musical entertainment where there are open sidewalk booths. ","Ray Street between University Avenue & North Park Way","2017-10-14 18:00:00","2017-10-14 22:00:00","500/day","40","North Park for the Arts","www.northparkarts.org","3800 block of Ray Street","32.7475282","-117.1293405"
"The Haunted Hotel 2017 (31-Day Event)","49482","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-14 18:00:00","2017-10-14 01:00:00","25,000","40","The Haunted Hotel San Diego, LLC","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"Halloween in the Hills","49703","","FESTIVAL","A West Lewis Street Block Party with live music, shopping, food trucks, drinks, tricks and treats for all ages. Join us as we get into the haunted holiday spirit with Henna artists, tarot card readings, fortune tellers and family friendly fun. Stop by for a spell!","West Lewis Street between Stephens Street and Palmetto Way","2017-10-14 17:00:00","2017-10-14 22:00:00","385","25","Salon Bella","","West Lewis Street & Stephens Street","32.751837","-117.1721309"
"4th Annual Firefighter Home Brew Contest","49681","","FESTIVAL","Come and sip samples of home brews by local firefighters! Bomberos de San Diego is holding
its 4th annual contest for 21-years and older. ","1572 Columbia Street","2017-10-14 15:30:00","2017-10-14 20:30:00","400","50","Bomberos de San Diego","www.bomberosdesandiego.org","1572 Columbia Street","32.7217058","-117.1676975"
"2017 Tierrasanta Oktoberfest","49660","","FESTIVAL","Oktoberfest originated in Germany as a celebration of the harvest when crops are gathered
from the fields. Come and enjoy a Bavarian Oktoberfest in the company of a happy crowd with
delicious German food & beer, polka music, and yodeling. The event concludes with a fireworks show.","Tierrasanta Park & Recreation Center at 11220 Clairemont Mesa Blvd.","2017-10-14 15:00:00","2017-10-14 21:00:00","2,000","100","Kiwanis Club of Tierrasanta","www.tierrasantakiwanis.org","11220 Clairemont Mesa Blvd.","32.8295358","-117.0883276"
"Talmadge Block Party","49682","","FESTIVAL","Talmadge residents are invited to the block party featuring live music, community booths, food,
kids' and adults' activities, prizes, contests, and more!","4600 block of Adams Avenue","2017-10-14 14:00:00","2017-10-14 18:00:00","400","25","Talmadge Block Party Committee","www.talmadgeblockparty.com","4600 block of Adams Avenue","32.7633386","-117.0987139"
"TEDxSANDIEGO - Main Event's Innovation Alley","49456","","FESTIVAL","Innovation Alley is the exhibitor fair portion of TEDxSANDIEGO Main Event, featuring upwards
of 20 innovative startup companies in San Diego. It's an interactive space to showcase companies latest contributions in the tech world. ","B Street between 7th and 8th Avenues. ","2017-10-14 11:00:00","2017-10-14 17:00:00","500","25","TEDxSANDIEGO","www.tedxsandiego.com","B Street & 7th Avenue","32.7178128824","-117.158352165"
"Ocean Beach Town Council Craft Fair","49515","","FARMERS","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays. Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right around the corner!","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2017-10-14 09:00:00","2017-10-14 16:00:00","150","50","OB Town Council","http://obtowncouncil.org/","Newport Avenue & Abbott Street","32.7478166981","-117.25262411899999"
"Walk a Mile in Her Shoes","49683","","ATHLETIC","Walk a Mile in Her Shoes encourages you to help end domestic violence, while raising funds for YWCA of San Diego County and Becky’s House domestic violence program. Can you sport a pair of heels for a whole mile? After the walk, celebrate your victory in the park with music,
prizes, and more. ","MLK Promenade ~ First Avenue ~ Market Street ~ Fifth Avenue ~ K Street.","2017-10-14 09:00:00","2017-10-14 13:00:00","500","50","YWCA of San Diego County","www.ywcasandiego.org","","NaN","NaN"
"Old Town Artisan's Market","49135","","FARMERS","A weekend open air market offering an array of interesting art, jewelery, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2017-10-14 09:00:00","2017-10-14 04:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","San Diego Ave & Harney St","32.7527798284","-117.19490439"
"City Heights Farmer's Market (Every Saturday)","48763","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items
include fresh fruits and vegetables, bakery, dry goods,prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2017-10-14 09:00:00","2017-10-14 13:00:00","500/day","100","San Diego County Farm Bureau","www.sdfarmbureau.org","4300 Wightman Street","32.7479815027","-117.10183933299999"
"The Mercato: Little Italy's Farmers Market (Sat.)","48984","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs,
flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","West Date Street between Front Street and its cul-de-sac west of Ketner Boulevard","2017-10-14 08:00:00","2017-10-14 14:00:00","1,500","400","Little Italy Association of San Diego.","www.littleitalymercato.com","224 W. Date Street","32.723223408","-117.16511933700001"
"The Haunted Trail of Balboa Park (33-Day Event)","49364","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-13 18:30:00","2017-10-13 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"The Haunted Hotel 2017 (31-Day Event)","49481","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-13 18:00:00","2017-10-13 01:00:00","25,000","40","The Haunted Hotel San Diego, LLC","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Hotel (31-Day Event)","49495","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-12 19:00:00","2017-10-12 23:00:00","25,000","40","The Haunted Hotel San Diego, LLC.","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Trail of Balboa Park (33-Day Event)","49363","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-12 18:30:00","2017-10-12 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"2017 EVA Awards at the UN-Gala","49628","","FESTIVAL","The East Village Association is celebrating the unique vibe that defines San Diego’s largest
urban neighborhood. The 2017 EVA Awards showcases the community with awards, live entertainment, a silent auction and raffle, food sampling, beverages, and more.","Fault Line Park at 1433 Island Avenue","2017-10-12 17:00:00","2017-10-12 21:00:00","300","50","East Village Association","www.eastvillagesandiego.com","1433 Island Avenue","32.7104438","-117.1516242"
"North Park Thursday Market","48711","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs,
artisan products, and craft vendors providing North Park residents and visitors with healthy
foods in a family oriented community gathering place. ","North Park Way between Granada Avenue and 30th
Street","2017-10-12 15:00:00","2017-10-12 19:30:00","900","70","North Park Main Street","www.northparkmarket.com","2900 North Park Way","32.747671015","-117.130530344"
"The Haunted Hotel (31-Day Event)","49494","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-11 19:00:00","2017-10-11 23:00:00","25,000","40","The Haunted Hotel San Diego, LLC.","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Trail of Balboa Park (33-Day Event)","49362","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-11 18:30:00","2017-10-11 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"Ocean Beach Certified Farmer's Market (Wednesdays)","48607","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared
foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2017-10-11 16:00:00","2017-10-11 20:00:00","1,200","60","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","4900 Block of Newport Avenue","32.7458016","-117.249336"
"Curbside Bites Food Truck Markets (Wed. Lunch)","48557","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streeets ","2017-10-11 11:00:00","2017-10-11 14:00:00","300/day","25","Curbside Bites","www.curbsidebites.com","500 West B Street","32.7179944103","-117.16765248"
"The Haunted Trail of Balboa Park (33-Day Event)","49361","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-10 18:30:00","2017-10-10 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"Pacific Beach Tuesday Farmer's Market","49048","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacfic Beach residents and visitors healthy food in a family friendly gathering place.","Bayard Street between Grand and Garnet Avenues","2017-10-10 14:00:00","2017-10-10 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","4499 Bayard St","32.796878322800005","-117.25336480799999"
"The Haunted Trail of Balboa Park (33-Day Event)","49360","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-09 18:30:00","2017-10-09 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"The Haunted Hotel (31-Day Event)","49493","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-08 19:00:00","2017-10-08 23:00:00","25,000","40","The Haunted Hotel San Diego, LLC.","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"The Haunted Trail of Balboa Park (33-Day Event)","49359","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-08 18:30:00","2017-10-08 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"2016 Polish Festival San Diego (3-Day Event)","49605","","FESTIVAL","Today, the event is for all ages. It's a tribute to Polish culture complete with music, singing,
dancing, imported Polish beer, and souvenir (pottery & amber jewelry). Delicous Polish food
is served; sausage, piergies, golmbkis (stuffed cabbage), and bingos (hunter's stew).","St. Maximilian Kolbe R.C. Polish Mission parking lot at 1735 Grand Avenue","2017-10-08 12:00:00","2017-10-08 17:00:00","2,000","100","St. Maximilian Kolbe R.C. Polish Mission","www.polishmission.org","1735 Grand Avenue","32.7982217","-117.2373341"
"Maker Faire San Diego ","49716","","FESTIVAL","The Maker Faire is a gathering of tech enthusiasts, crafters, tinkerers, hobbiests, engineers, artists, and authors. It's an opportunity for them to showcase what they have made and learned.","Bea Evenson Fountain/El Prado/Botanical Building lawn/HPR lawn/Federal lawn/Palisades Lot South in Balboa Park","2017-10-08 10:00:00","2017-10-08 18:00:00","3,000","500","Balboa Park Cultural Partnership","www.sdmakerfair.org","1500 El Prado","32.719652994499995","-117.04521712299999"
"Old Town Artisan's Market","49134","","FARMERS","A weekend open air market offering an array of interesting art, jewelery, pottery, clothing, gift
items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street","2017-10-08 09:00:00","2017-10-08 04:30:00","1,000","100","Old Town San Diego Chamber of Commerce","","San Diego Ave & Harney St","32.7527798284","-117.19490439"
"2017 Hillcrest Farmers' Market (Sundays)","48844","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2017-10-08 09:00:00","2017-10-08 14:00:00","2,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485387","-117.1498828"
"Pints & Paddles for a Cause","49888","","ATHLETIC","Join in a Khaotic Kayak Race! Teams of three will sit upon a tandem kayak, two paddlers, and a gunner. The gunner will be using a super soaker to slow down competitors during the race to the finish. Kayaks, paddles, life vests (PFDs), and water soakers are provided; just come dressed to get wet.
","Bonita Cove in Mission Bay Park","2017-10-08 08:00:00","2017-10-08 15:00:00","100","","Team River Runner","www.pintsandpaddles.org","1100 West Mission Bay Drive","32.7701767283","-117.245099363"
"La Jolla Art & Wine Festival (2-Day Event)","49565","","FESTIVAL","An upscale festival in La Jolla presents over 150 artists selling their creations. Live acoustic
music stimulates a pleasing atmosphere as visitors go from booth to booth looking for special art treasures. The event also includes a circus, chalk art, beer garden, food court, and a silent auction. ","Girard Avenue (between Torrey Pines Rd. & Prospect Ave.) ~ Silverado Street (between north & south alleys) ~ Wall Street (between Girard Ave. & alley.)","2017-10-08 08:00:00","2017-10-08 18:00:00","20,000","400","La Jolla Art & Wine Festival","www.ljawf.com","Girard and Prospect Avenue","32.8480062","-117.2741789"
"PurpleStride San Diego 2017","49659","","ATHLETIC","PurpleStride is an athletic event where participants can enjoy a 5K run/walk. It takes place at East Mission Bay with views of water, grass, and trees. Post-event activities include music, light refreshments, and games for children. Proceeds benefit the Pancreatic Cancer Network.","De Anza Cove and surrounding pathways in Mission Bay Park","2017-10-08 06:30:00","2017-10-08 11:00:00","2,100","100","Pancreatic Cancer Action Network","www.purplestride.org","3000 N Mission Bay Dr","32.795977712399996","-117.20923295"
"The Haunted Trail of Balboa Park (33-Day Event)","49358","","FESTIVAL","A haunted forest in the darkness of night is beckoning you to come and walk upon its trail. Are you ready to walk amid eerie sounds and lurking shadows where eyes glow in the dark and creepy fingers reach out for you? Hang onto the rope! You don't want to get lost in this forest!","Balboa Park - Marston Point and along Balboa Dr. near Juniper St.
","2017-10-07 18:30:00","2017-10-07 00:00:00","25,000","60","The Haunted Trail San Diego LLC","www.hauntedtrail.net","","NaN","NaN"
"The Haunted Hotel 2017 (31-Day Event)","49480","","FESTIVAL","The creaky door to the haunted hotel is opening and something is beckoning for you to go inside. Do you dare to step into darkened hallways where eerie sounds abound and creepy creatures slither about, and the undead reach out to touch you? The haunted hotel is waiting. Do you dare to go inside? ","Broker's Building basement at 424 Market Street in downtown San Diego","2017-10-07 18:00:00","2017-10-07 01:00:00","25,000","40","The Haunted Hotel San Diego, LLC","www.hauntedhotel.com","424 Market Street ","32.7117135866","-117.16067393600001"
"2017 Polish Festival San Diego (3-Day Event)","49604","","FESTIVAL","Today, the event is for all ages. It's a tribute to Polish culture complete with music, singing,
dancing, imported Polish beer, and souvenirs (pottery & amber jewelry). Delicious Polish food
is served; sausage, pierogies, galumpkis (stuffed cabbage), and bingos (hunter's stew).
","St. Maximilian Kolbe R.C. Polish Mission parking lot at 1735 Grand Ave. ","2017-10-07 14:00:00","2017-10-07 00:00:00","2,000","100","St. Maximilian Kolbe R.C. Polish Mission","www.polishmission.org","1735 Grand Ave","32.7982217","-117.2373341"
"La Jolla Art & Wine Festival (2-Day Event)","49564","","FESTIVAL","An upscale festival in La Jolla presents over 150 artists selling their creations. Live acoustic
music stimulates a pleasing atmosphere as visitors go from booth to booth looking for special art treasures. The event also includes a circus, chalk art, beer garden, food court, and a silent auction. ","Girard Avenue (between Torrey Pines Rd. & Prospect Ave.) ~ Silverado Street (between north & south alleys) ~ Wall Street (between Girard Ave. & alley.)","2017-10-07 10:00:00","2017-10-07 19:00:00","20,000","400","La Jolla Art & Wine Festival","www.ljawf.com","Girard and Prospect Avenues","32.715738","-117.1610838"
